system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,primary_address_line_1,Website,PTO Website,PTO or Parent Coordinator contact availible?,Contact Pos,If_Contacted,If_Responded,Community_district,Council-district,Census_tract,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Police_precinct
17K241,K241,P.S. 241 Emma L. Johnston,DOE,General Academic,Elementary,976 PRESIDENT STREET,http://www.ps241.org/,http://www.ps241.org/for_parents,1,PTA General,1,,309,35,21300,BK63,Crown Heights South,Frantz Lucius,Principal,718-636-4725,718-230-5468,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,71
16K243,K243,P.S. 243K- The Weeksville School,DOE,General Academic,Elementary,1580 DEAN STREET,https://www.weeksville243.com/,https://www.weeksville243.com/get-involved,1,Parent Coordinator,,,308,36,30900,BK61,Crown Heights North,KAREN HAMBRIGHT-GLOVE,Principal,718-604-6909,718-604-6914,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,77
18K244,K244,P.S. 244 Richard R. Green,DOE,General Academic,Elementary,5404 TILDEN AVENUE,https://www.ps244.info/,,0,,0,,317,45,94600,BK96,Rugby-Remsen Village,Deon Edwards,Principal,718-346-6240,718-345-3083,18,18,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,67
22K245,K245,P.S. 245,DOE,General Academic,Elementary,249 EAST 17TH STREET,https://www.ps245k.org/,,0,,0,,314,40,51200,BK42,Flatbush,Erica Williams,Principal,718-284-2330,718-284-2333,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,70
17K246,K246,M.S. 246 Walt Whitman,DOE,General Academic,Junior High-Intermediate-Middle,72 VERONICA PLACE,https://www.wwms246.school/,https://www.wwms246.school/parent_corner,0,,0,,317,40,79400,BK95,Erasmus,BENTLY WARRINGTON,Principal,718-282-5230,718-284-6429,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,67
20K247,K247,P.S. 247 Brooklyn,DOE,General Academic,Elementary,7000 21 AVENUE,https://www.ps247.org/,https://www.ps247.org/parent_resources,1,PTA General,1,,311,47,25800,BK28,Bensonhurst West,CHRISTOPHE OGNO,Principal,718-236-4205,718-331-8563,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,62
17K249,K249,P.S. 249 The Caton,DOE,General Academic,Elementary,18 MARLBOROUGH ROAD,https://www.catonschool.com/,,0,,0,,314,40,50600,BK42,Flatbush,ELISA BROWN,Principal,718-282-8828,718-284-5146,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,70
14K250,K250,P.S. 250 George H. Lindsay,DOE,General Academic,Elementary,108 MONTROSE AVENUE,https://ps250k.weebly.com/,https://ps250k.weebly.com/parents-association.html,0,,0,,301,34,50500,BK90,East Williamsburg,Roseann Lacioppa,Principal,718-384-0889,718-302-2314,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,90
22K251,K251,P.S. 251 Paerdegat,DOE,General Academic,Elementary,1037 EAST  54 STREET,http://www.ps251.com/,,1,Parent Coordinator,,,318,46,72200,BK58,Flatlands,Sheldon Noel,Principal,718-251-4110,718-241-3200,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,63
21K253,K253,P.S. 253,DOE,General Academic,Elementary,601 OCEANVIEW AVENUE,https://www.ps253.org/,https://www.ps253.org/pta,0,,0,,313,48,36400,BK19,Brighton Beach,LISA DITILLO SPERONI,Principal,718-332-3331,718-743-7194,21,21,COMMUNITY SCHOOL DISTRICT 21,"DIMOLA, ISABEL",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,60
22K254,K254,P.S. 254 Dag Hammarskjold,DOE,General Academic,Elementary,1801 AVENUE Y,https://ps254.weebly.com/,https://ps254.weebly.com/parent-page.html,1,PTA General,,,315,48,59200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,John Norton,Principal,718-743-0890,718-332-4477,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,61
22K255,K255,P.S. 255 Barbara Reing School,DOE,General Academic,Elementary,1866 EAST  17 STREET,https://www.ps255.org/,https://www.ps255.org/parent_association,1,Parent Coordinator,1,,315,48,55800,BK44,Madison,Kelly McCann,Principal,718-376-8494,718-627-0626,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,61
13K256,K256,P.S. 256 Benjamin Banneker,DOE,General Academic,Elementary,114 KOSCIUSZKO STREET,https://ps256brooklyn.org/,https://ps256brooklyn.org/the-pta/,0,,0,,303,36,25300,BK75,Bedford,SHARYN HEMPHILL,Principal,718-857-9820,718-783-7384,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,79
14K257,K257,P.S. 257 John F. Hylan,DOE,General Academic,Elementary,60 COOK STREET,https://www.magnetschool257.org/,,0,,0,,301,34,49100,BK90,East Williamsburg,BRIAN DE VALE,Principal,718-384-7128,718-387-8115,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,90
20K259,K259,J.H.S. 259 William McKinley,DOE,General Academic,Junior High-Intermediate-Middle,7305 FT HAMILTON PARKWAY,https://www.mckinley259.org/,https://www.mckinley259.org/pta-recordings,1,PTA President,1,,310,43,20600,BK30,Dyker Heights,JANICE GEARY,Principal,718-833-1000,718-833-3419,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,68
15K261,K261,P.S. 261 Philip Livingston,DOE,General Academic,Elementary,314 PACIFIC STREET,https://www.ps261brooklyn.org/,https://www.ps261brooklyn.org/pta/,1,PTA General,1,,302,33,4300,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Erica Davis,I.A. Principal,718-330-9275,718-875-9503,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,84
16K262,K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,DOE,General Academic,Elementary,500 MACON STREET,https://www.ps262elementaryschool.org/,,0,,0,,303,36,29700,BK61,Crown Heights North,JOELETHA FERGUSON,Principal,718-453-0780,718-453-0679,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
20K264,K264,P.S. 264 Bay Ridge Elementary School For The Arts,DOE,General Academic,Elementary,371 89th Street,https://www.ps264.org/,https://www.ps264.org/copy-of-parent-coordinator,1,PTA General,1,-1,310,43,6000,BK31,Bay Ridge,MARISA BOLOGNINO,Principal,718-630-1650,718-630-1655,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,68
13K265,K265,Dr. Susan S. McKinney Secondary School of the Arts,DOE,General Academic,Secondary School,101 PARK AVENUE,https://www.mckinneyssa.com/,,0,,0,,302,35,21100,BK68,Fort Greene,Edgar Lin,Principal,718-834-6760,718-243-0815,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,88
13K266,K266,M.S. K266 - Park Place Community Middle School,DOE,General Academic,Junior High-Intermediate-Middle,62 PARK PLACE,https://www.ms266brooklyn.org/,,0,,0,,306,39,12902,BK37,Park Slope-Gowanus,Frederick Torres,Principal,718-245-8766,718-245-8769,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,78
16K267,K267,"M.S. 267 Math, Science & Technology",DOE,General Academic,Junior High-Intermediate-Middle,800 GATES AVENUE,https://www.ms267.org/,https://www.ms267.org/pta.html,1,PTA General,1,,303,36,29300,BK35,Stuyvesant Heights,PATRICIA KING,Principal,718-574-2318,718-574-2320,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
18K268,K268,P.S. 268 Emma Lazarus,DOE,General Academic,Elementary,133 EAST  53 STREET,https://www.ps268.org/,,0,,0,,317,41,86600,BK96,Rugby-Remsen Village,Sylvia Fairclough,Principal,718-773-5332,718-493-7448,18,18,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,67
13K270,K270,P.S. 270 Johann DeKalb,DOE,General Academic,Elementary,241 EMERSON PLACE,https://ps270dekalbschool.weebly.com/,,0,,0,,302,35,19300,BK69,Clinton Hill,Alyssa Roye,Principal,718-623-5280,718-622-3370,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,88
18K272,K272,P.S. 272 Curtis Estabrook,DOE,General Academic,Elementary,101-24 SEAVIEW AVENUE,,,0,,0,,318,46,103400,BK50,Canarsie,DAKOTA KEYES,Principal,929-437-5000,929-437-5009,18,18,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,69
19K273,K273,P.S. 273 Wortman,DOE,General Academic,Elementary,923 JEROME STREET,https://www.ps273wortmanwildcats.org/,,0,,0,,305,42,107800,BK82,East New York,MELESSA AVERY,Principal,718-649-5739,718-927-2230,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
32K274,K274,P.S. 274 Kosciusko,DOE,General Academic,Elementary,800 BUSHWICK AVENUE,https://www.ps274.org/,https://www.ps274.org/parent-corner/pta-parent-teacher-association,1,Parent Coordinator,1,,304,34,39300,BK78,Bushwick South,MARITZA OLLIVIERRA JONE,Principal,718-642-5300,718-574-1059,32,32,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",NYCDOE Borough Office - Brooklyn North,NULL,83
18K276,K276,P.S. 276 Louis Marshall,DOE,General Academic,Elementary,1070 EAST  83 STREET,https://ps276.org/,,0,,0,,318,46,99600,BK50,Canarsie,Yasmine Fidelia,Principal,718-241-5757,718-241-5560,18,18,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,69
22K277,K277,P.S. 277 Gerritsen Beach,DOE,General Academic,Elementary,2529 GERRITSEN AVENUE,,,0,,0,,318,46,66600,BK99,park-cemetery-etc-Brooklyn,Theresa Vlantis,Principal,718-743-6689,718-368-0920,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,61
22K278,K278,J.H.S. 278 Marine Park,DOE,General Academic,Junior High-Intermediate-Middle,1925 STUART STREET,https://sites.google.com/view/is278/home,,0,,0,,315,46,66600,BK99,park-cemetery-etc-Brooklyn,Kerri Moser,Principal,718-375-3523,718-998-7324,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,61
20K971,K971,"School of Math, Science, and Healthy Living",DOE,General Academic,Elementary,6214 4TH AVENUE,,,0,,0,,307,38,7200,BK32,Sunset Park West,Ruth Stanislaus,Principal,718-765-2200,718-765-2205,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,72
18K279,K279,P.S. 279 Herman Schreiber,DOE,General Academic,Elementary,1070 EAST 104 STREET,,,0,,0,,318,46,98600,BK50,Canarsie,LORENZO CHAMBERS,Principal,718-444-4316,718-241-5581,18,18,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,69
21K281,K281,I.S. 281 Joseph B Cavallaro,DOE,General Academic,Junior High-Intermediate-Middle,8787 24 AVENUE,https://www.is281.com/,,1,Parent Coordinator,1,,311,47,30400,BK29,Bensonhurst East,Maria Bender,Principal,718-996-6706,718-996-4186,21,21,COMMUNITY SCHOOL DISTRICT 21,"DIMOLA, ISABEL",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,62
13K282,K282,P.S. 282 Park Slope,DOE,General Academic,K-8,180 6 AVENUE,https://www.282parkslope.org/,https://www.282parkslope.org/282pto,1,PTA General,1,,306,39,13100,BK37,Park Slope-Gowanus,Amy Rodriguez,Principal,718-622-1626,718-622-3471,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,78
23K284,K284,"The Gregory Jocko Jackson School of Sports, Art, a",DOE,General Academic,K-8,213 OSBORN STREET,https://www.gjs284.org/,,0,,0,,316,41,91200,BK81,Brownsville,Keva Pitts,Principal,718-495-7791,718-495-7839,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,73
18K285,K285,I.S. 285 Meyer Levin,DOE,General Academic,Junior High-Intermediate-Middle,5909 BEVERLY ROAD,https://meyerlevin.org/,,0,,0,,317,45,93600,BK96,Rugby-Remsen Village,George Patterson,Principal,718-451-2200,718-228-4118,18,18,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,67
13K287,K287,P.S. 287 Bailey K. Ashford,DOE,General Academic,Elementary,50 NAVY STREET,https://www.ps287bkinnovators.org/,https://www.ps287bkinnovators.org/apps/pages/index.jsp?uREC_ID=1592202&type=d&pREC_ID=1719496,0,,0,,302,35,2300,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,MICHELE RAWLINS,Principal,718-834-4745,718-834-6766,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,84
21K288,K288,P.S. 288 The Shirley Tanyhill,DOE,General Academic,K-8,2950 WEST  25 STREET,,,0,,0,,313,47,34200,BK21,Seagate-Coney Island,Qadir Dixon,Principal,718-382-2100,718-382-2111,21,21,COMMUNITY SCHOOL DISTRICT 21,"DIMOLA, ISABEL",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,60
17K289,K289,P.S. 289 George V. Brower,DOE,General Academic,Elementary,900 ST MARKS AVENUE,,,0,,0,,308,36,34100,BK61,Crown Heights North,MARC MARDY,I.A. Principal,718-493-3824,718-467-3735,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,77
19K290,K290,P.S. 290 Juan Morel Campos,DOE,General Academic,Elementary,135 SCHENCK AVENUE,https://www.ps290juanmorelcampos.org/,,0,,0,,305,37,119800,BK82,East New York,BRIGITTE NEWELL,Principal,718-647-1113,718-827-5842,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
32K291,K291,J.H.S. 291 Roland Hayes,DOE,General Academic,Junior High-Intermediate-Middle,231 PALMETTO STREET,https://jhs291k.echalksites.com/,https://jhs291k.echalksites.com/slt__pta,0,,0,,304,37,43300,BK77,Bushwick North,Janice Bruce,Principal,718-574-0361,718-574-1360,32,32,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",NYCDOE Borough Office - Brooklyn North,NULL,83
19K292,K292,J.H.S. 292 Margaret S. Douglas,DOE,General Academic,Junior High-Intermediate-Middle,301 VERMONT STREET,https://www.jhs292.org/,,0,,0,,305,42,114400,BK85,East New York (Pennsylvania Ave),Ahmed Edwards,Principal,718-498-6562,718-345-3327,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
15K295,K295,P.S. 295,DOE,General Academic,Elementary,330 18 STREET,https://www.ps295.org/,https://www.ps295.org/ptafta,1,PTA General,1,,307,38,14700,BK32,Sunset Park West,Linda Mazza,Principal,718-965-0390,718-965-0603,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,72
14K297,K297,P.S. 297 Abraham Stockton,DOE,General Academic,Elementary,700 PARK AVENUE,https://ps297k.echalksites.com/,https://ps297k.echalksites.com/pta_information,0,,0,,303,36,25700,BK75,Bedford,JAMES BROWN,Principal,718-388-4581,718-302-2315,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,79
23K298,K298,P.S. 298 Dr. Betty Shabazz,DOE,General Academic,Elementary,85 WATKINS STREET,,,0,,0,,316,37,90600,BK81,Brownsville,Jonathan Dill,Principal,718-495-7793,718-566-8770,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,73
32K299,K299,P.S. 299 Thomas Warren Field,DOE,General Academic,Elementary,88 WOODBINE STREET,https://www.ps299.org/,,0,,0,,304,34,39900,BK78,Bushwick South,CARLEEN MILLER BAILEY,Principal,718-473-8230,718-574-1080,32,32,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",NYCDOE Borough Office - Brooklyn North,NULL,83
13K301,K301,Restoration Academy,DOE,General Academic,Junior High-Intermediate-Middle,31 NEW YORK AVENUE,https://k301.echalksites.com/,,0,,0,,303,36,24700,BK61,Crown Heights North,Juanita Brown,Principal,718-789-4251,718-789-4823,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,79
21K303,K303,I.S. 303 Herbert S. Eisenberg,DOE,General Academic,Junior High-Intermediate-Middle,501 WEST AVENUE,https://is303.com/,,1,Principal,,,313,47,35400,BK23,West Brighton,CARMEN AMADOR,Principal,718-996-0100,718-996-3785,21,21,COMMUNITY SCHOOL DISTRICT 21,"DIMOLA, ISABEL",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,60
19K306,K306,P.S. 306 Ethan Allen,DOE,General Academic,Elementary,970 VERMONT STREET,https://sites.google.com/schools.nyc.gov/ethanallenschool/families?authuser=0,https://sites.google.com/schools.nyc.gov/ethanallenschool/school-leadership-team?authuser=0,0,,0,,305,42,110400,BK82,East New York,Lenika Vane,Principal,718-649-3155,718-927-2243,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
13K307,K307,P.S. 307 Daniel Hale Williams,DOE,General Academic,Elementary,209 YORK STREET,,,0,,0,,302,33,2100,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Stephanie Carroll,Principal,718-834-4748,718-855-4181,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,84
16K308,K308,P.S. 308 Clara Cardwell,DOE,General Academic,K-8,616 QUINCY STREET,https://www.ps308k.org/,,0,,0,,303,36,29300,BK35,Stuyvesant Heights,Sharon Odwin,Principal,718-571-6960,718-453-0663,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
16K309,K309,P.S. 309 The George E. Wibecan Preparatory Academy,DOE,General Academic,Elementary,794 MONROE STREET,https://ps309.org/,,0,,0,,303,41,38500,BK35,Stuyvesant Heights,Tanya Bryant,Principal,718-574-2381,718-453-0643,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
20K310,K310,The School For Future Leaders,DOE,General Academic,Elementary,942 62ND STREET,https://www.ps310knyc.org/,https://www.ps310knyc.org/pta,1,Parent Coordinator,1,,310,38,12000,BK34,Sunset Park East,Yuqing Hong,Principal,718-491-7670,718-765-4635,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,68
22K312,K312,P.S. 312 Bergen Beach,DOE,General Academic,Elementary,7103 AVENUE T,https://ps312bergenbeach.weebly.com/,https://www.ps312pa.com/,1,PTA General,1,,318,46,69602,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,Sungmin Yoo,Principal,718-763-4015,718-531-2796,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,63
13K313,K313,Dock Street School for STEAM Studies,DOE,General Academic,Junior High-Intermediate-Middle,19 DOCK STREET,https://dockstreetschoolnyc.com/,https://dockstreetschoolnyc.com/pta/,0,,0,,302,33,2100,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Melissa Vaughan,Principal,718-780-7660,718-780-7675,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,84
22K315,K315,P.S. K315,DOE,General Academic,Elementary,2310 GLENWOOD ROAD,https://www.22k315.org/,,0,,0,,314,45,77200,BK42,Flatbush,Judith Ranft,Principal,718-421-9560,718-421-9561,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,70
17K316,K316,P.S. 316 Elijah Stroud,DOE,General Academic,Elementary,750 CLASSON AVENUE,https://www.ps316brooklyn.org/,https://ps316pta.membershiptoolkit.com/,1,PTA General,1,,308,35,21500,BK64,Prospect Heights,Olga Maluf,Principal,718-638-4043,718-230-5366,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,77
14K318,K318,I.S. 318 Eugenio Maria De Hostos,DOE,General Academic,Junior High-Intermediate-Middle,101 WALTON STREET,https://is318.com/,https://is318.com/pta/,1,PTA General,1,,301,33,50900,BK72,Williamsburg,Leander Windley,Principal,718-782-0589,718-384-7715,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,90
14K319,K319,P.S. 319,DOE,General Academic,Early Childhood,360 KEAP STREET,https://www.ps319williamsburg.org/,https://www.ps319williamsburg.org/pta,1,PTA General,1,,301,34,52700,BK73,North Side-South Side,ALEYDA ZAMORA MARTINEZ,Principal,718-388-1588,718-302-2316,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,90
15K321,K321,P.S. 321 William Penn,DOE,General Academic,Elementary,180 7 AVENUE,https://ps321.org/,,0,,0,,306,39,15500,BK37,Park Slope-Gowanus,ELIZABETH PHILLIPS,Principal,718-499-2412,718-965-9605,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,78
23K323,K323,P.S./I.S. 323,DOE,General Academic,K-8,210 CHESTER STREET,,,0,,0,,316,41,92400,BK81,Brownsville,LINDA HARRIS,Principal,718-495-7781,718-346-4614,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,73
19K325,K325,The Fresh Creek School,DOE,General Academic,Elementary,875 WILLIAMS AVENUE,https://ps325freshcreek.org/,,0,,0,,318,42,98200,BK50,Canarsie,Lisa Goodson,Principal,718-272-1843,718-272-2813,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,69
22K326,K326,P.S. 326,DOE,General Academic,Early Childhood,1800 UTICA AVENUE,https://www.ps326.org/,,0,,0,,318,45,72800,BK58,Flatlands,COLLEEN DUCEY,Principal,718-241-4828,718-763-5567,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,63
23K327,K327,P.S. 327 Dr. Rose B. English,DOE,General Academic,K-8,111 BRISTOL STREET,https://k327.echalksites.com/,,0,,0,,316,41,92400,BK81,Brownsville,Georgette Malcolm,Principal,718-495-7801,718-495-7828,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,73
19K328,K328,P.S. 328 Phyllis Wheatley,DOE,General Academic,Elementary,330 ALABAMA AVENUE,http://www.iam328thephilliswheatleyschool.com/,,0,,0,,305,42,113400,BK85,East New York (Pennsylvania Ave),Marie Desforges,Principal,718-345-9393,718-345-6566,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
21K329,K329,P.S. 329 Surfside,DOE,General Academic,Elementary,2929 WEST  30 STREET,https://ny18000612.schoolwires.net/,,1,Parent Coordinator,,,313,47,34200,BK21,Seagate-Coney Island,SALEMA MARBURY,Principal,718-787-3460,718-787-3471,21,21,COMMUNITY SCHOOL DISTRICT 21,"DIMOLA, ISABEL",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,60
16K335,K335,P.S. 335 Granville T. Woods,DOE,General Academic,Elementary,130 ROCHESTER AVENUE,http://www.ps335.org/,http://www.ps335.org/groups/74044/parent_association/home,0,,0,,308,36,30700,BK61,Crown Heights North,Karena Thompson,I.A. Principal,718-493-7736,718-953-4697,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,77
17K340,K340,I.S. 340,DOE,General Academic,Junior High-Intermediate-Middle,227 STERLING PLACE,https://www.ms340.org/,,1,Parent Coordinator,,,308,35,16300,BK64,Prospect Heights,Tamara Johnson,Principal,718-857-5516,718-230-5479,13,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,77
19K345,K345,P.S. 345 Patrolman Robert Bolden,DOE,General Academic,Elementary,111 BERRIMAN STREET,https://www.ps345k.com/,,0,,0,,305,37,119200,BK82,East New York,WANDA HOLT,Principal,718-647-8387,718-827-5884,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
19K346,K346,P.S. 346 Abe Stark,DOE,General Academic,Elementary,1400 PENNSYLVANIA AVENUE,https://www.ps346abestark.org/,,0,,0,,305,42,105804,BK93,Starrett City,KEVIN CAIFA,Principal,718-642-3000,718-642-8498,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
